,company,year,EoF for SCR (£m),Excess of assets over liabilities (£m) [= equity],GWP (£m),NWP (£m) ,SCR (£m),SCR coverage ratio,Total assets (£m),Total liabilities (£m),"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)",Gross claims incurred (£m),Gross combined ratio,Gross expense ratio,"Net BEL (inc. TPs as a whole, pre-TMTP) (£m)",Net combined ratio,Net expense ratio,Pure gross claims ratio,Pure net claims ratio
0,1,2016,2416.559784992302,1243.92499082561,46.76803042498611,-17754.10048645742,2021.3218622469626,0.16251965516029768,63676.869102333185,40171.68315594512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2017,3.796177092257411,4.398725104861754,0.0,0.0,6.9400432308232975e-09,55887003.05757315,9.566095697378056,0.0,0.5889941649851628,0.005515162433567464,0.6750506932790861,77.25125440877,9.894597449379987,71.2988409838318,41.013059968847735,17.534691168824644,17.184307980672962
2,1,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,2,2016,33.896967279720315,8.75526056314321,41.794374771369505,9.244369313189408,16.459756092235345,5.648647051862941,78.77652420656602,7.970519420983104,221.32767985853053,44.46786547748218,1.7509462837935605,0.3911788022958701,45.459689408915395,1.2762961695141901,0.8436718607451861,0.17834154906383928,0.15986468932849743
556,2,2017,20.945314205790133,48.42518894491121,6.185296467199545,0.09877074830183145,15.009073135423128,3.683320997264215,23.312487989588096,12.796789206823165,59.47469092733211,29.489599041384793,1.3215230065919024,0.6859407248997416,239.07267234663627,2.1760708684317653,0.7384046941849708,0.034749821221748384,0.22999885695372996
557,2,2018,78.471171932501,0.07082348994019637,11.578801427359755,40.812426476455855,14.227214158173771,10.23950738231817,56.3423264846408,11.332856746509592,266.1184138397505,34.100482155607686,1.545324743992064,1.4332837556328637,244.2678845643909,0.6873162160528358,1.370775850201961,0.24349122970538056,0.08837189194669656
558,2,2019,47.73067478997116,43.36837999431913,3.891800631616199,35.643070866752666,15.037066091884423,5.792779750962441,98.81710709948801,6.730189731030726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,2,2020,28.78416158315556,12.456319039280283,16.723242209535766,13.626145148362589,1.591638361303183,3.1706821860317156,2.6657408369190754,16.173862006192543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
